Datetime,Tweet Id,Text,Username
2022-11-26 17:02:24+00:00,1596549947708813314,@AnonOpsSE Because in life you have to be brave https://t.co/NFfb77IIJu,NLCRYPTO2
2022-11-26 14:13:21+00:00,1596507402610036736,@FinansowyUmysl Tak rynek robi totalną korektę. Mówiłem o tym już w Marcu. To moja analiza z Marca https://t.co/qgPyDvq25w,07tradewars
2022-11-26 13:27:14+00:00,1596495800334520329,@BitizenWallet @KardiaChain @X_Trader1  @algoritmiktrad @TradeWars_10,0xBabacan
2022-11-26 13:20:37+00:00,1596494132784271360,Big opportunity 🎨 @Didefix17 @scales @amazxngg @jagtheboss @TradeWars_10 @apology0625 @marapaimon_ @PLiappas @bobross87192800 @johnctrue @changsheng1888 @Houdini4kay @_metasebia_ @RucaStepn @JimmyHs15791897 https://t.co/CsOtbN6Elf,MALoi_X
2022-11-26 13:02:41+00:00,1596489620241645569,@GOP Vote for tradewars and poo on the capital walls,stepupor
2022-11-26 08:20:47+00:00,1596418679310516224,@jenniferzeng97 Bravo people of china rise all and go against your government,KrzysztofSzypu
2022-11-26 08:19:21+00:00,1596418319044980737,@KarolL4skowski Dokładnie tak samo robię czasem jeśli rynek jest bardzo pozytywny i szybko zmierza w wyznaczonym kierunku to przy 1:2 zamykam połowę a wtedy reszta na BE,KrzysztofSzypu
2022-11-26 08:08:48+00:00,1596415663018373120,"@tradewarspl Moim zdaniem jeszcze raz osiągnie poziom poniżej 10, ale może się mylę 😎",KrzysztofSzypu
2022-11-26 08:06:24+00:00,1596415059911184386,@Przemys20985762 @Xx17965797N Niestety nie powstaną mam tam wielu przyjaciół i jak mogą to przez VPN się śmieją z tego a wszyscy zaszczypawkowani po 3 i 4 razy,KrzysztofSzypu
2022-11-26 01:35:39+00:00,1596316724097605632,@KubbyTrustard @owangenft @OwangeToshiro @luis94214004 @zeegengm @TradeWars_10,EditChillin1
2022-11-26 00:08:28+00:00,1596294781231300608,"Posthuman Futures

As order was restores to the various factions of the Terran Solar System of the Consilience a tempered peace between the endless tradewars began... and, yet, the arts and cultures of each planet and the off-lying mining belts gained a certain amount of freedom https://t.co/0Pps7PMFWw",alien_ecologies
2022-11-25 20:15:23+00:00,1596236125244624896,@MBalawelder I bardzo ku... Dobrze !!!!!!,KrzysztofSzypu
2022-11-25 18:41:07+00:00,1596212403196383232,@majkowskyqwe3 @JurekSanalizy co tam całe depo.... cała zdolnością kredytową :D,KarolL4skowski
2022-11-25 18:39:49+00:00,1596212073834643456,@KarolMania @JurekSanalizy dzięki,KarolL4skowski
2022-11-25 18:38:10+00:00,1596211661664555009,"@EveyNFT @kumegamer @TheChefBoyRDave @Crouserrr @SteveVencl @paxworldteam
 
@TradeWars_10
 
@whaleworldwide",Yully87_
2022-11-25 18:36:36+00:00,1596211264212160512,"With ongoing #wars #tradewars &amp;  continuous #femicide of #woman regardless decades @UN meetings #humanity still has a 12th century mentality Butch #machismo tries2hide collective stupidity 
#WomanLifeFreedom because  #ViolenceAgainstWomen is retarded @hrw https://t.co/eEngn6VfZr",TheTrinityroy
2022-11-25 18:34:40+00:00,1596210780491464705,"With ongoing #wars #tradewars &amp;  continuous #femicide of #woman regardless decades @UN meetings #humanity still has a 12th century mentality Butch #machismo tries2hide collective stupidity 
#WomanLifeFreedom because  #ViolenceAgainstWomen is retarded @hrw
https://t.co/RkFIX1hps0",mokumnews
2022-11-25 17:51:04+00:00,1596199804585103363,A Wy jak zabezpieczacie swoje pozycje?,KarolL4skowski
2022-11-25 17:50:37+00:00,1596199693192941568,https://t.co/4G0Xv2cQ0k  #Bitcoin #kryptowaluty #trading,KarolL4skowski
2022-11-25 16:35:05+00:00,1596180686377226241,@atillayurtseven @tr_tradingview @TradeWars_10,VancouverRecor1
2022-11-25 12:37:36+00:00,1596120921680801792,EU demands rapid response to #JoeBiden $369bn green subsidy package which provides tax credits and subsidies for US consumers and companies for products #electricvehicles #windturbines #greenhydrogen if made in the US https://t.co/E1nUwUfhOE #EUtrade #TradeWars #ClimateEmergency,AlexWitzleben
2022-11-25 10:25:14+00:00,1596087610987921408,@CryptoRehberi @TradeWars_10 anaaaa,onurolcay
2022-11-25 10:15:14+00:00,1596085091381514240,@CezaryGraf Zamykam oczy i tylko to widzę... https://t.co/v01kuePC7u,TGonerus
2022-11-25 08:56:23+00:00,1596065250365050882,"Check out my #GOLD analysis on @TradingView: https://t.co/eDfKjTuZAC 
Gold Złoto jedziemy do strefy na 1670-1640 
#analiza #forex #gold #złoto #analizy #tradewars",TGonerus
2022-11-25 08:54:49+00:00,1596064856746217473,"@WallStreetSilv Limited growth, a new generation, food insecurity, geopolitical reshuffle, tradewars...needs detention centers and lockdowns",bart_bondt
2022-11-25 08:51:23+00:00,1596063991713132544,"Bateria Patriot poniemiecka a kot z centralnej Polski pochodzi: Mój komentarz do tego, że nie chcemy przyjąć dodatkowego wsparcia obrony przeciwlotniczej 🤬
Co wy na to? @Przemys20985762 
#mon #treiding #analizy https://t.co/ZQZjPnexaw",TGonerus
2022-11-25 06:58:04+00:00,1596035473994309632,"Threatened by a new #USA subsidy package that could hammer #EU industry, #Germany is rowing back on its long-standing objections to schemes like #France's #BuyEuropeanAct that would set provisions on buying goods locally #tradewars #globaltrade https://t.co/0nLhZo3edT",designative
2022-11-24 18:03:20+00:00,1595840504826322945,@TradeWars_10 Hocam önceki çekilişte sizin telegram gelip admin arkadaşlara uid bildirmemiz gerekiyormuş. Ama paylaşımınızda bu şart yoktu. Alamadık o yüzden 🤣,EntelMaymun
2022-11-24 17:40:39+00:00,1595834798274236420,@TradeWars_10 Hocam sizin çekiliş sonuçları ne oldu,Vergasvargass
2022-11-24 17:36:17+00:00,1595833699425292288,@MarekStiller TradeWars Jurek.S,FJasiolek
2022-11-24 17:30:57+00:00,1595832357289959427,@TradeWars_10 Hocam nft başına verilecek ödüller neden gozukmuyor,meting1212
2022-11-24 17:30:12+00:00,1595832167959072779,"Ek olarak; 10 Usdt Deposito şartı iptal edilmiş, yerine 0.01 #Eth stake şartı getirilmiş. 

Turnuva bitiminde stake edilen #ethereum da iade ediliyor.",TradeWars_10
2022-11-24 17:30:11+00:00,1595832164171812865,"#OKX  ‘in #FIFAWorldCup ‘a özel hazırladığı #NFT’lere sıfıra yakın bir maliyetle sahip olmak için aşağıdaki videoyu izleyebilirsiniz.

🎬 İlgilenenler için video linki;
https://t.co/RsxD2lqCsg

#Qatar2022 #metamask #CR7𓃵 https://t.co/Teqr4ML7zh",TradeWars_10
2022-11-24 16:28:27+00:00,1595816625638604800,@meroltrader 🥲,SweetPotatoPL
2022-11-24 14:30:28+00:00,1595786934344900609,"Politically, environmentally and economically, the world is facing an array of systemic threats. Whether #Coronavirus or #TradeWars, #ClimateChange or #CyberCrime, #SupplyChains are central to the challenges of the next decade and beyond. https://t.co/fzElLHwdeg",foundation_fsc
2022-11-24 13:27:26+00:00,1595771072292552706,@TradeWars_10 Hocam ne oldu bunun sonucu kim kazandı?,Kamon468
